bib,age,finish_minutes,avg_std,avg_pace_to_10k,avg_pace_to_15k,avg_pace_to_20k,avg_pace_to_21.1k,avg_pace_to_25k,avg_pace_to_30k,avg_pace_to_35k.1,avg_pace_to_40k,avg_pace_to_42.2k
31663,54,277.82,0.008,9.1,9.1,9.08,9.09,9.09,9.08,9.1,9.12,9.11
3182,44,167.3,0.01,15.09,15.1,15.1,15.1,15.11,15.09,15.1,15.13,15.13
6879,33,177.55,0.01,14.23,14.22,14.22,14.22,14.22,14.21,14.23,14.24,14.26
6199,47,177.75,0.011,14.21,14.21,14.2,14.22,14.22,14.21,14.2,14.24,14.24
6492,35,179.2,0.011,14.14,14.13,14.13,14.14,14.16,14.15,14.16,14.13,14.13
3076,34,179.2,0.011,14.14,14.13,14.13,14.14,14.16,14.15,14.16,14.13,14.13
15423,35,203.9,0.011,12.43,12.44,12.44,12.44,12.45,12.45,12.41,12.45,12.42
16626,23,206.67,0.011,12.23,12.23,12.21,12.22,12.23,12.22,12.25,12.23,12.25
19263,51,206.87,0.011,12.2,12.2,12.19,12.2,12.2,12.18,12.22,12.22,12.24
19408,42,213.4,0.011,11.87,11.89,11.89,11.89,11.88,11.87,11.87,11.85,11.86
20104,53,223.77,0.011,11.35,11.33,11.33,11.33,11.34,11.32,11.33,11.31,11.31
5155,37,177.03,0.012,14.26,14.27,14.27,14.27,14.27,14.25,14.24,14.27,14.3
5599,37,179.85,0.012,14.05,14.06,14.04,14.05,14.06,14.03,14.05,14.04,14.08
15615,41,204.22,0.012,12.37,12.37,12.39,12.4,12.4,12.39,12.37,12.37,12.4
14828,51,209.57,0.012,12.03,12.05,12.05,12.06,12.06,12.05,12.06,12.08,12.08
11904,42,209.95,0.012,12.02,12,12,12.01,12.01,12,12.01,12.02,12.06
14656,57,212.22,0.012,11.95,11.95,11.93,11.93,11.93,11.94,11.92,11.93,11.93
22087,60,223.47,0.012,11.27,11.29,11.28,11.29,11.31,11.29,11.27,11.32,11.33
2383,30,165.78,0.013,15.2,15.19,15.2,15.2,15.2,15.21,15.21,15.25,15.27
5348,36,166.83,0.013,15.22,15.21,15.19,15.2,15.19,15.18,15.21,15.19,15.18
4827,53,175.25,0.013,14.42,14.4,14.42,14.42,14.43,14.43,14.44,14.45,14.45
3603,34,178.13,0.013,14.17,14.17,14.16,14.17,14.17,14.14,14.16,14.19,14.21
7297,42,179.55,0.013,14.11,14.12,14.12,14.13,14.11,14.1,14.1,14.09,14.1
4334,47,179.72,0.013,14.13,14.12,14.12,14.13,14.13,14.11,14.12,14.08,14.09
